,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
134737,1468000,6,10,2019,1,4.0,3.5,3194.0,4009.0,2018.0,19
134738,1485950,5,1,2019,1,4.0,3.5,3191.0,4000.0,2019.0,19
134739,705000,1,5,2018,1,3.0,2.0,1640.0,5775.0,1950.0,19
134740,970000,11,3,2017,1,3.0,2.0,2429.0,6000.0,1951.0,19
134741,1200000,5,17,2019,1,3.0,3.0,2425.0,6720.0,1914.0,19
134742,315000,7,3,2018,0,2.0,1.0,865.0,56224.0,1974.0,19
134743,985000,6,11,2019,1,3.0,2.0,1930.0,6900.0,1937.0,19
134744,719000,4,17,2019,3,3.0,3.5,1450.0,1282.0,2007.0,19
134745,540000,8,3,2018,3,2.0,1.5,1649.0,27390.125019392875,1987.0,19
134746,742000,1,21,2019,0,3.0,2.0,1800.0,31200.0,1973.0,19
134747,950000,5,15,2019,1,4.0,4.0,2890.0,5850.0,1939.0,19
134748,849900,3,19,2018,1,5.0,3.0,2380.0,5225.0,1963.0,19
134749,650000,11,7,2017,1,2.0,2.0,1540.0,5640.0,1943.0,19
134750,1360000,5,8,2018,1,3.0,2.5,1940.0,8985.0,1941.0,19
134751,2682000,2,5,2018,1,4.0,3.5,4690.0,16940.0,1937.0,19
134752,3300000,5,18,2018,1,5.0,5.5,7130.0,13640.0,2013.0,19
134753,1200000,3,23,2018,1,4.0,3.0,3030.0,5405.0,1924.0,19
134755,869000,11,30,2018,1,4.0,2.5,2300.0,5000.0,1942.0,19
134756,811000,9,19,2019,1,3.0,2.5,2080.0,4500.0,1963.0,19
134757,760000,1,20,2021,0,2.0,2.0,1384.0,18002.0,2003.0,19
134758,759999,9,28,2021,3,3.0,2.5,1418.0,780.0,2021.0,19
134759,1480000,2,10,2021,1,4.0,2.0,2175.0,6000.0,1956.0,19
134760,789000,9,10,2020,1,3.0,2.0,1540.0,6000.0,1910.0,19
134761,925000,8,26,2020,1,3.0,2.0,1370.0,4000.0,1951.0,19
134763,1913000,9,15,2021,1,3.0,3.5,3620.0,6000.0,2005.0,19
134764,1300000,7,9,2021,1,2.0,2.0,1990.0,14806.0,1947.0,19
134765,1207000,4,29,2021,1,4.0,2.0,1960.0,5120.0,1962.0,19
134766,679950,7,2,2021,3,2.0,2.0,1012.0,346.0,2021.0,19
134767,743000,9,8,2021,3,3.0,3.0,1360.0,1313.0,2006.0,19
134768,679000,7,28,2021,3,3.0,1.5,1360.0,1392.0,2003.0,19
134769,699950,9,16,2021,3,2.0,2.0,1203.0,878.0,2021.0,19
134770,1666000,2,21,2019,1,4.0,3.5,3200.0,7300.0,1965.0,19
134771,1295000,2,13,2019,1,5.0,3.5,3300.0,6100.0,1950.0,19
134772,965000,12,20,2018,1,3.0,2.0,1552.0,5350.0,1941.0,19
134773,970000,6,28,2019,1,3.0,2.0,2140.0,5800.0,1941.0,19
134774,1225000,6,21,2018,3,2.0,3.0,2814.0,1152.0,2009.0,19
134775,3465000,1,31,2019,1,4.0,5.0,4700.0,37098.0,1984.0,19
134776,1187500,3,15,2019,1,4.0,2.0,2830.0,18880.0,1900.0,19
