SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-14-2022,Single Family Residential,1652 N 183rd St,Shoreline,WA,98133,760000,2,2.0,Shoreline,1452,8096,1952,,523,,Sold,,,https://www.redfin.com/WA/Shoreline/1652-N-183rd-St-98133/home/83063,NWMLS,1930473,N,Y,47.7616218,-122.3380317
PAST SALE,May-30-2019,Townhouse,1766 N Northgate Way Unit G,Seattle,WA,98133,435000,2,1.5,Haller Lake,1020,937,2001,,426,,Sold,,,https://www.redfin.com/WA/Seattle/1766-N-Northgate-Way-98133/unit-G/home/104935,NWMLS,1435470,N,Y,47.7073856,-122.3363889
PAST SALE,September-24-2021,Condo/Co-op,300 N 130th St #5204,Seattle,WA,98133,305000,1,1.0,Bitter Lake,707,,1988,,431,438,Sold,,,https://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-5204/home/12538770,NWMLS,1825304,N,Y,47.7234901,-122.3551663
PAST SALE,October-17-2022,Single Family Residential,1616 N 167th St,Shoreline,WA,98133,614900,2,1.0,Shoreline,880,8476,1947,,699,,Sold,,,https://www.redfin.com/WA/Shoreline/1616-N-167th-St-98133/home/83032,NWMLS,1975639,N,Y,47.75109,-122.339128
PAST SALE,,Single Family Residential,210 N 101st St,Seattle,WA,98133,916500,3,2.0,,1620,10316,1921,,566,,,,,https://www.redfin.com/WA/Seattle/210-N-101st-St-98133/home/101180,,,N,Y,47.7023978,-122.3564069
PAST SALE,February-25-2019,Single Family Residential,19224 Firlands Way N,Shoreline,WA,98133,580000,4,2.5,Shoreline,2110,8291,1979,,275,,Sold,,,https://www.redfin.com/WA/Shoreline/19224-Firlands-Way-N-98133/home/78688,NWMLS,1380079,N,Y,47.7684678,-122.3486036
PAST SALE,September-29-2021,Single Family Residential,1708 N 128th St,Seattle,WA,98133,649995,3,1.0,Haller Lake,1020,7236,1953,,637,,Sold,,,https://www.redfin.com/WA/Seattle/1708-N-128th-St-98133/home/103781,NWMLS,1829332,N,Y,47.7222366,-122.3368857
PAST SALE,October-8-2021,Single Family Residential,344 N 104th St,Seattle,WA,98133,835000,3,2.5,Greenwood,1780,3771,2013,,469,,Sold,,,https://www.redfin.com/WA/Seattle/344-N-104th-St-98133/home/45451341,NWMLS,1822178,N,Y,47.7045504,-122.3534836
PAST SALE,December-29-2021,Townhouse,10303 Holman Rd N Unit C,Seattle,WA,98177,570000,3,1.5,Greenwood,1330,1015,2006,,429,,Sold,,,https://www.redfin.com/WA/Seattle/10303-Holman-Rd-N-98177/unit-C/home/12304353,NWMLS,1856862,N,Y,47.7039425,-122.3583522
PAST SALE,October-6-2021,Single Family Residential,355 N 101st St,Seattle,WA,98133,695000,3,1.5,Greenwood,1240,3844,1924,,560,,Sold,,,https://www.redfin.com/WA/Seattle/355-N-101st-St-98133/home/98834,NWMLS,1835790,N,Y,47.7019906,-122.3529708
PAST SALE,July-15-2021,Townhouse,13435 Greenwood Ave N Unit A,Seattle,WA,98133,540000,2,1.5,Broadview,1190,1265,2005,,454,,Sold,,,https://www.redfin.com/WA/Seattle/13435-Greenwood-Ave-N-98133/unit-A/home/2063721,NWMLS,1794734,N,Y,47.727463,-122.3569923
PAST SALE,August-15-2019,Single Family Residential,19217 Ashworth Ave N,Shoreline,WA,98133,610000,4,2.5,Shoreline,2150,8151,1962,,284,,Sold,,,https://www.redfin.com/WA/Shoreline/19217-Ashworth-Ave-N-98133/home/79471,NWMLS,1444763,N,Y,47.768561,-122.3418351
PAST SALE,August-24-2018,Single Family Residential,11014 Palatine Ave N,Seattle,WA,98133,762500,3,2.0,Broadview,1910,7560,1949,,399,,Sold,,,https://www.redfin.com/WA/Seattle/11014-Palatine-Ave-N-98133/home/96970,NWMLS,1323804,N,Y,47.70922,-122.3565377
PAST SALE,November-23-2021,Single Family Residential,15504 Greenwood Ave N,Shoreline,WA,98133,752000,4,3.0,Shoreline,2090,8160,1967,,360,,Sold,,,https://www.redfin.com/WA/Shoreline/15504-Greenwood-Ave-N-98133/home/81251,NWMLS,1851290,N,Y,47.741559,-122.3553713
PAST SALE,,Single Family Residential,14346 Densmore Ave N,Seattle,WA,98133,495000,2,1.0,,800,4758,1952,,619,,,,,https://www.redfin.com/WA/Seattle/14346-Densmore-Ave-N-98133/home/102929,,,N,Y,47.7337317,-122.3384166
